11562,"PROVIDER,TWOHUNDREDTWENTY","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11563,"PROVIDER,TWOHUNDREDTWENTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11564,"PROVIDER,TWOHUNDREDTWENTYTWO","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11565,"PROVIDER,TWOHUNDREDTWENTYTHREE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11566,"PROVIDER,TWOHUNDREDTWENTYFOUR","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11567,"PROVIDER,TWOHUNDREDTWENTYFIVE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11568,"PROVIDER,TWOHUNDREDTWENTYSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11569,"PROVIDER,TWOHUNDREDTWENTYSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11570,"PROVIDER,TWOHUNDREDTWENTYEIGHT","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11571,"PROVIDER,TWOHUNDREDTWENTYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11572,"PROVIDER,TWOHUNDREDTHIRTY","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11573,"PROVIDER,TWOHUNDREDTHIRTYONE","MALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11574,"PROVIDER,TWOHUNDREDTHIRTYTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11575,"PROVIDER,TWOHUNDREDTHIRTYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11576,"PROVIDER,TWOHUNDREDTHIRTYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11577,"PROVIDER,TWOHUNDREDTHIRTYFIVE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11578,"PROVIDER,TWOHUNDREDTHIRTYSIX","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","FELLOW","FULL TIME","",
11579,"PROVIDER,TWOHUNDREDTHIRTYSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11580,"PROVIDER,TWOHUNDREDTHIRTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11581,"TRANSCRIPTION,MRT","FEMALE","","MRT","","","","MEDICAL ADMINISTRATION","","","",
11582,"PROVIDER,TWOHUNDREDTHIRTYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11583,"PROVIDER,TWOHUNDREDFORTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11584,"PROVIDER,TWOHUNDREDFORTYONE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11585,"PROVIDER,TWOHUNDREDFORTYTWO","","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11586,"PROVIDER,TWOHUNDREDFORTYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11587,"PROVIDER,TWOHUNDREDFORTYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11588,"PROVIDER,TWOHUNDREDFORTYFIVE","MALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11589,"SCHEDULING,CLERK","MALE","","","","","","MEDICAL ADMINISTRATION","","","",
11590,"PROVIDER,TWOHUNDREDFORTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11591,"REMOTE,USER","MALE","","","","","","MEDICAL ADMINISTRATION","","","",
11592,"CONSULT,USER","FEMALE","","CONSULT USER","","","","MEDICAL ADMINISTRATION","","","",
11593,"PROVIDER,TWOHUNDREDFORTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11594,"PROVIDER,TWOHUNDREDFORTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11595,"PROVIDER,TWOHUNDREDFORTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11596,"PROVIDER,TWOHUNDREDFIFTY","FEMALE","DEC  7,1941","Scholar Extraordinaire","","","RADTECH,FIFTEEN","MEDICINE","","","",
11597,"PROVIDER,PRF","","DEC  7,1941","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
11598,"PROVIDER,TWOHUNDREDFIFTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11599,"PROVIDER,TWOHUNDREDFIFTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11600,"PROVIDER,TWOHUNDREDFIFTYTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11601,"PROVIDER,TWOHUNDREDFIFTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11602,"PROVIDER,TWOHUNDREDFIFTYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11603,"PROVIDER,TWOHUNDREDFIFTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11604,"PROVIDER,TWOHUNDREDFIFTYSEVEN","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11605,"RO,CLERK","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11606,"PROVIDER,TWOHUNDREDFIFTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11607,"PROVIDER,TWOHUNDREDFIFTYNINE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11608,"PROVIDER,TWOHUNDREDSIXTY","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11609,"PROVIDER,TWOHUNDREDSIXTYONE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11610,"PROVIDER,TWOHUNDREDSIXTYTWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11611,"PROVIDER,TWOHUNDREDSIXTYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11612,"PROVIDER,TWOHUNDREDSIXTYFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11613,"PROVIDER,TWOHUNDREDSIXTYFIVE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11614,"COUNSELOR,ONE","MALE","","COMPUTER SPECIALIST","","","","MEDICAL","","","",
11615,"PROVIDER,TWOHUNDREDSIXTYSIX","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11616,"PROVIDER,TWOHUNDREDSIXTYSEVEN","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","TECHNICIAN","FULL TIME","",
11617,"STUDENT,ONE","","","","","","","SURGERY","","","",
11618,"STUDENT,TWO","","","","","","","SURGERY","","","",
11619,"STUDENT,THREE","","","","","","","SURGICAL","","","",
11620,"STUDENT,FOUR","FEMALE","","","","","","SURGICAL","","","",
11621,"STUDENT,FIVE","","","","","","","SURGICAL","","","",
11622,"STUDENT,SIX","","","","","","","SURGICAL","","","",
11623,"STUDENT,SEVEN","","","","","","","SURGICAL","","","",
11624,"LABTECH,FOUR","FEMALE","JAN  4,1963","COMPUTER SPECIALIST","666000004","","","INFORMATION SYSTEMS CENTER","","","",
11625,"PROVIDER,TWOHUNDREDSIXTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11626,"PROVIDER,TWOHUNDREDSIXTYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11627,"PROVIDER,TWOHUNDREDSEVENTY","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11628,"PROVIDER,TWOHUNDREDSEVENTYONE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11629,"MANAGER,MIS","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11630,"NETWORK,HEALTH EXCHANGE","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11631,"PROVIDER,TWOHUNDREDSEVENTYTWO","","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11632,"PROVIDER,TWOHUNDREDSEVENTYTHREE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11633,"PROVIDER,TWOHUNDREDSEVENTYFOUR","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11634,"PROVIDER,TWOHUNDREDSEVENTYFIVE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11635,"TEST,ONE","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11636,"STUDENT,A","FEMALE","","CHIEF,PHARMACY SERVICE","","","","MEDICAL ADMINISTRATION","","","",
11637,"STUDENT,B","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11638,"STUDENT,C","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11639,"STUDENT,D","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11640,"STUDENT,E","FEMALE","","","","","","OFFICE OF THE DIRECTOR","","","",
11641,"TEST,A","FEMALE","","DIRECTOR,SPECIAL SERVICES","","","","AMBULATORY CARE","","","",
11642,"TEST,B","FEMALE","","DIRECTOR,SPECIAL SERVICES","","","","OFFICE OF THE DIRECTOR","","","",
11643,"TEST,DD","FEMALE","","","","","","OFFICE OF THE DIRECTOR","","","",
11644,"TEST,ED","FEMALE","","DISTRICT CO-ORDINATOR","","","","RADIOLOGY","","","",
11645,"ZZTEST,A","MALE","","","","","","MEDICAL ADMINISTRATION","","","",
11646,"PROVIDER,FIVEHUNDREDTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11647,"PROVIDER,FIVEHUNDREDTHREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11648,"TEST,TESTE","","","HELP DESK","","","","INFORMATION RESOURCE MGMT","","","",
11649,"TEST,TESTF","","","COMPUTER ASSISTANT","","","","INFORMATION RESOURCE MGMT","","","",
11650,"TEST,TESTJ","","","HELPER","","","","INFORMATION RESOURCE MGMT","","","",
11651,"TEST,TESTJAS","","","","","","","INFORMATION RESOURCE MGMT","","","",
11652,"TEST,TESTJASZ","","","HELPER","","","","INFORMATION RESOURCE MGMT","","","",
11653,"PROVIDER,FIVEHUNDREDFOUR","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11654,"CLERK,WARD","","","","","","","MEDICAL ADMINISTRATION","","","",
11655,"PHARMACY,TECHNICIAN","","","PHARMACY TECHNICIAN","666549252","","","1029","","","",
11656,"AMIE,VACO","MALE","","","","","WARDCLERK,SEVENTYSEVEN","MEDICAL ADMINISTRATION","","","",
11657,"PROVIDER,FIVEHUNDREDFIVE","MALE","DEC  7,1941","Scholar Extraordinaire","","","","MEDICINE","","","",
11658,"PROVIDER,FIVEHUNDREDSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11659,"PROVIDER,FIVEHUNDREDSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11660,"PROVIDER,FIVEHUNDREDEIGHT","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11661,"PROVIDER,FIVEHUNDREDNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11662,"PROVIDER,FIVEHUNDREDTEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11663,"PROVIDER,FIVEHUNDREDELEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11664,"PROVIDER,TWOHUNDREDSEVENTYSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11665,"PROVIDER,TWOHUNDREDSEVENTYSEVEN","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11666,"STUDENT,EIGHT","FEMALE","","","","","","SURGICAL","","","",
11667,"STUDENT,NINE","MALE","","","","","","SURGICAL","","","",
11668,"STUDENT,TEN","MALE","","MEDICAL STUDENT","","","","MEDICINE","","","",
11669,"STUDENT,ELEVEN","MALE","","","","","","","","","",
11670,"STUDENT,TWELVE","MALE","","","","","","","","","",
11671,"STUDENT,THIRTEEN","MALE","","","","","","","","","",
11672,"STUDENT,FOURTEEN","MALE","","","","","","","","","",
11673,"STUDENT,FIFTEEN","MALE","","","","","","","","","",
11674,"STUDENT,SIXTEEN","MALE","","","","","","","","","",
11675,"STUDENT,SEVENTEEN","MALE","","","","","","","","","",
11676,"STUDENT,EIGHTEEN","MALE","","","","","","","","","",
11677,"STUDENT,NINETEEN","MALE","","","","","","","","","",
11678,"STUDENT,TWENTY","MALE","","","","","","","","","",
11679,"STUDENT,TWENTYONE","MALE","","","","","","","","","",
11680,"STUDENT,TWENTYTWO","MALE","","","","","","","","","",
11681,"STUDENT,TWENTYTHREE","MALE","","","","","","","","","",
11682,"STUDENT,TWENTYFOUR","MALE","","","","","","","","","",
11683,"STUDENT,TWENTYFIVE","MALE","","","","","","","","","",
11684,"STUDENT,TWENTYSIX","MALE","","","","","","","","","",
11685,"STUDENT,TWENTYSEVEN","MALE","","","","","","","","","",
11686,"STUDENT,TWENTYEIGHT","MALE","","","","","","","","","",
11687,"STUDENT,TWENTYNINE","MALE","","","","","","","","","",
11688,"STUDENT,THIRTY","MALE","","","","","","","","","",
11689,"STUDENT,THIRTYONE","MALE","","","","","","","","","",
11690,"LABTECH,SIXTYTWO","MALE","","COMPUTER SPECIALIST","","","","FISCAL","","","",
11691,"PROVIDER,TWOHUNDREDSEVENTYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","DENTIST","","",
11692,"PROVIDER,TWOHUNDREDSEVENTYNINBE","MALE","","","","","","","","","",
11693,"PROVIDER,TWOHUNDREDSEVENTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11694,"PROVIDER,TWOHUNDREDEIGHTY","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11695,"PROVIDER,TWOHUNDREDEIGHTYONE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
11696,"PROVIDER,TWOHUNDREDEIGHTYTWO","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11697,"PROVIDER,TWOHUNDREDEIGHTYTHREE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11698,"PROVIDER,TWOHUNDREDEIGHTYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","DENTIST","FULL TIME","",
11699,"PROVIDER,TWOHUNDREDEIGHTYFIVE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11700,"PROVIDER,TWOHUNDREDEIGHTYSIX","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11701,"PROVIDER,TWOHUNDREDEIGHTYSEVEN","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11702,"PROVIDER,TWOHUNDREDEIGHTYEIGHT","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11703,"PROVIDER,TWOHUNDREDEIGHTYNINE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11704,"PROVIDER,TWOHUNDREDNINETY","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11705,"PROVIDER,TWOHUNDREDNINETYONE","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11706,"PROVIDER,TWOHUNDREDNINETYTWO","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11707,"PROVIDER,TWOHUNDREDNINETYTHREE","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11708,"TEST,DDD","","","","","","","","","","",
11709,"PROVIDER,TWOHUNDREDNINETYFOUR","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11710,"PROVIDER,TWOHUNDREDNINETYFIVE","","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11711,"PROVIDER,TWOHUNDREDNINETYSIX","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11712,"PROVIDER,TWOHUNDREDNINETYSEVEN","FEMALE","","Scholar Extraordinaire","666549272","","","MEDICINE","PHYSICIAN","HOUSE STAFF","",
11713,"PROVIDER,TWOHUNDREDNINETYEIGHT","FEMALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11714,"PROVIDER,TWOHUNDREDNINETYNINE","MALE","","Scholar Extraordinaire","","","","MEDICINE","PHYSICIAN","FULL TIME","",
11715,"PROVIDER,THREEHUNDRED","MALE","","Scholar Extraordinaire","","","","MEDICINE","","","",
11716,"RADIOLOGIST,ONE","FEMALE","","PHYSICIAN","","","","MEDICAL","","","",
11717,"RADIOLOGIST,TWO","MALE","","WARD CLERK","","","","MEDICAL ADMINISTRATION","","","",
11718,"RADIOLOGIST,THREE","FEMALE","","","","","","PSYCHIATRY","","","",
11719,"RADIOLOGIST,FOUR","FEMALE","","","","","","PSYCHIATRY","","","",
11720,"PATCH,USER","MALE","","","","","","INFORMATION RESOURCE MGMT","","","",
11721,"RADIOLOGIST,FIVE","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11722,"IMAGING,ONE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11723,"IMAGING,TWO","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11724,"IMAGING,THREE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11725,"IMAGING,FOUR","MALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11726,"IMAGING,FIVE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11727,"RADTECH,ELEVEN","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11728,"RADTECH,TWELVE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11729,"RADTECH,THIRTEEN","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
11730,"RADTECH,FOURTEEN","MALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11731,"RADTECH,FIFTEEN","FEMALE","","COMPUTER SPECIALIST","","","PROVIDER,TWOHUNDREDFIFTY","FISCAL","","","",
11732,"RADTECH,SIXTEEN","MALE","DEC  7,1941","HELPER","666549901","","","INFORMATION RESOURCE MGMT","","","",
11733,"RADTECH,SEVENTEEN","","","","","","","PHARMACY","","","",
11734,"RADTECH,EIGHTEEN","MALE","","","","","","PHARMACY","PHYSICIAN","HOUSE STAFF","",
11735,"RADTECH,NINETEEN","MALE","DEC  7,1941","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11736,"RADTECH,TWENTY","MALE","","MEDICAL STUDENT","","","","MEDICINE","","","",
11737,"RADTECH,TWENTYONE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11738,"RADTECH,TWENTYTWO","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11739,"RADTECH,TWENTYTHREE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11740,"RADTECH,TWENTYFOUR","MALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11741,"RADTECH,TWENTYFIVE","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11742,"RADTECH,TWENTYSIX","MALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11743,"RADTECH,TWENTYSEVEN","MALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11744,"RADTECH,TWENTYEIGHT","MALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11745,"LABTECH,SPECIAL","MALE","","COMPUTER SPECIALIST","666547783","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
11746,"RADTECH,THIRTY","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11747,"RADTECH,THIRTYONE","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11748,"PATHOLOGY,ONE","FEMALE","","COMPUTER SPECIALIST","","","","INFORMATION SYSTEMS CENTER","","","",
11749,"RADTECH,THIRTYTHREE","FEMALE","","","","","","INFORMATION RESOURCE MGMT","","","",
11750,"RADTECH,THIRTYFOUR","","","","","","","","","","",
11751,"RADTECH,THIRTYFIVE","MALE","","LAB DEVELOPER -EDS","","","","INFORMATION SYSTEMS CENTER","","","",
11752,"RADTECH,THIRTYSIX","","","","","","","","","","",
11753,"PROVIDER,PRIMARY","FEMALE","","PROVIDER","","","","MEDICAL","","","",
11754,"RADTECH,THIRTYSEVEN","FEMALE","","COMPUTER PROGRAMMER","","","","INFORMATION RESOURCE MGMT","","","",
11814,"RADTECH,THIRTYEIGHT","MALE","","CLERK-TYPIST","","","","MEDICAL ADMINISTRATION","","","",
11815,"RADTECH,THIRTYNINE","MALE","","","","","","MEDICAL","","","",
11816,"RADTECH,FORTY","MALE","","","","","","MEDICAL","","","",
11817,"RADTECH,FORTYONE","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","PHYSICIAN","FULL TIME","",
11818,"RADTECH,FORTYTWO","MALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11819,"RADTECH,FORTYTHREE","MALE","","","","","","","","","",
11820,"PHYSICIAN,ASSISTANT","FEMALE","","MID LEVEL","","","","MEDICAL","PHYSICIAN ASSISTANT","FULL TIME","",
11821,"RADTECH,FORTYFOUR","FEMALE","","PHARMACIST","","","","PHARMACY","","","",
11822,"CHIEF,MEDICAL","FEMALE","","CHIEF COOK AND BOTTLE WASHER","","","","MEDICAL ADMINISTRATION","","","",
11823,"TECHNICIAN,MEDICAL RECORDS","FEMALE","","","","","","MEDICAL ADMINISTRATION","","","",
11824,"RADTECH,FORTYFIVE","FEMALE","","REGISTERED NURSE","666549834","","","NURSING","","","",
11825,"RADTECH,FORTYSIX","","","","","","","","","","",
11826,"HOUSEKEEPER,USER","FEMALE","","","","","","BUILDING MANAGEMENT","","","",
11827,"RADTECH,FORTYSEVEN","FEMALE","","","","","","INFORMATION SYSTEMS CENTER","","","",
11828,"RADTECH,FORTYEIGHT","MALE","","MEDICAL TECHNOLOGIST","","","","LABORATORY","","","",
11829,"RADTECH,FORTYNINE","MALE","","PROVIDER","","","","MEDICINE","PHYSICIAN","FULL TIME","",
20001,"VEHU,ONE","","","Scholar Extraordinaire","666548849","","","MEDICINE","","","",
20003,"ZZCAMP,THREE","","","Scholar Extraordinaire","","","","MEDICINE","","","",
20004,"ZZCAMP,TWO","","","Scholar Extraordinaire","","","","MEDICINE","","","",
20005,"VEHU,FOUR","","","Scholar Extraordinaire","666548835","","","MEDICINE","","","",
20006,"VEHU,FIVE","","","Scholar Extraordinaire","666548824","","","MEDICINE","","","",
20007,"VEHU,SIX","","","Scholar Extraordinaire","666548888","","","MEDICINE","","","",
20008,"VEHU,SEVEN","","","Scholar Extraordinaire","666548876","","","MEDICINE","","","",
20009,"VEHU,NINE","","","Scholar Extraordinaire","666548837","","","MEDICINE","","","",
20010,"VEHU,EIGHT","","","Scholar Extraordinaire","666548800","","","MEDICINE","","","",
20011,"VEHU,ELEVEN","","","Scholar Extraordinaire","666548812","","","MEDICINE","","","",
20012,"VEHU,TEN","","","Scholar Extraordinaire","666547700","","","MEDICINE","","","",
20013,"VEHU,THIRTEEN","","","Scholar Extraordinaire","666547701","","","MEDICINE","","","",
20014,"VEHU,TWELVE","","","Scholar Extraordinaire","666547713","","","MEDICINE","","","",
20015,"VEHU,FIFTEEN","","","Scholar Extraordinaire","666548813","","","MEDICINE","","","",
20016,"VEHU,FOURTEEN","","","Scholar Extraordinaire","666548836","","","MEDICINE","","","",
20017,"VEHU,SEVENTEEN","","","Scholar Extraordinaire","666548877","","","MEDICINE","","","",
20018,"VEHU,SIXTEEN","","","Scholar Extraordinaire","666548889","","","MEDICINE","","","",
20019,"VEHU,EIGHTEEN","","","Scholar Extraordinaire","666548801","","","MEDICINE","","","",
20020,"VEHU,NINETEEN","","","Scholar Extraordinaire","666548838","","","MEDICINE","","","",
20021,"VEHU,TWENTY","","","Scholar Extraordinaire","666547714","","","MEDICINE","","","",
20022,"VEHU,TWENTYTWO","","","Scholar Extraordinaire","666547723","","","MEDICINE","","","",
20023,"VEHU,TWENTYONE","","","Scholar Extraordinaire","666547719","","","MEDICINE","","","",
20024,"VEHU,TWENTYFOUR","","","Scholar Extraordinaire","666547717","","","MEDICINE","","","",
20025,"VEHU,TWENTYTHREE","","","Scholar Extraordinaire","666547722","","","MEDICINE","","","",
20026,"VEHU,TWENTYSIX","","","Scholar Extraordinaire","666547721","","","MEDICINE","","","",
20027,"VEHU,TWENTYEIGHT","","","Scholar Extraordinaire","666547715","","","MEDICINE","","","",
20028,"VEHU,THIRTY","","","Scholar Extraordinaire","666547702","","","MEDICINE","","","",
20029,"VEHU,THIRTYTWO","","","Scholar Extraordinaire","666547711","","","MEDICINE","","","",
20030,"VEHU,THIRTYFOUR","","","Scholar Extraordinaire","666547705","","","MEDICINE","","","",
20031,"VEHU,THIRTYSIX","","","Scholar Extraordinaire","666547709","","","MEDICINE","","","",
20032,"VEHU,THIRTYEIGHT","","","Scholar Extraordinaire","666547703","","","MEDICINE","","","",
20033,"VEHU,FORTY","","","Scholar Extraordinaire","666548825","","","MEDICINE","","","",
20034,"VEHU,FORTYTWO","","","Scholar Extraordinaire","666548834","","","MEDICINE","","","",
20035,"VEHU,TWENTYFIVE","","","Scholar Extraordinaire","666547716","","","MEDICINE","","","",
20036,"VEHU,FORTYFOUR","","","Scholar Extraordinaire","666548828","","","MEDICINE","","","",
20037,"VEHU,TWENTYSEVEN","","","Scholar Extraordinaire","666547720","","","MEDICINE","","","",
20038,"VEHU,FORTYSIX","","","Scholar Extraordinaire","666548832","","","MEDICINE","","","",
20039,"VEHU,TWENTYNINE","","","Scholar Extraordinaire","666547718","","","MEDICINE","","","",
20040,"VEHU,FORTYEIGHT","","","Scholar Extraordinaire","666548826","","","MEDICINE","","","",
20041,"VEHU,FIFTY","","","Scholar Extraordinaire","666548814","","","MEDICINE","","","",
20042,"VEHU,THIRTYONE","","","Scholar Extraordinaire","666547707","","","MEDICINE","","","",
20043,"VEHU,FIFTYTWO","","","Scholar Extraordinaire","666548823","","","MEDICINE","","","",
20044,"VEHU,THIRTYTHREE","","","Scholar Extraordinaire","666547710","","","MEDICINE","","","",
20045,"VEHU,FIFTYFOUR","","","Scholar Extraordinaire","666548817","","","MEDICINE","","","",
20046,"VEHU,THIRTYFIVE","","","Scholar Extraordinaire","666547704","","","MEDICINE","","","",
20047,"VEHU,FIFTYSIX","","","Scholar Extraordinaire","666548821","","","MEDICINE","","","",
20048,"VEHU,FIFTYEIGHT","","","Scholar Extraordinaire","666548815","","","MEDICINE","","","",
20049,"VEHU,SIXTY","","","Scholar Extraordinaire","666548890","","","MEDICINE","","","",
20050,"VEHU,THIRTYSEVEN","","","Scholar Extraordinaire","666547708","","","MEDICINE","","","",
20051,"VEHU,SIXTYTWO","","","Scholar Extraordinaire","666548899","","","MEDICINE","","","",
20052,"VEHU,THIRTYNINE","","","Scholar Extraordinaire","666547706","","","MEDICINE","","","",
20053,"VEHU,SIXTYFOUR","","","Scholar Extraordinaire","666548893","","","MEDICINE","","","",
20054,"VEHU,FORTYONE","","","Scholar Extraordinaire","666548830","","","MEDICINE","","","",
20055,"VEHU,SIXTYSIX","","","Scholar Extraordinaire","666548897","","","MEDICINE","","","",
20056,"VEHU,SIXTYEIGHT","","","Scholar Extraordinaire","666548891","","","MEDICINE","","","",
20057,"VEHU,FORTYTHREE","","","Scholar Extraordinaire","666548833","","","MEDICINE","","","",
20058,"VEHU,SEVENTY","","","Scholar Extraordinaire","666548878","","","MEDICINE","","","",
20059,"VEHU,FORTYFIVE","","","Scholar Extraordinaire","666548827","","","MEDICINE","","","",
